timestamp(ms),setpoint,measured,
"1696520177.221","0",,
"1696520177.222",,"0",
"1696520177.244","0",,
"1696520177.245",,"0",
"1696520177.266","0",,
"1696520177.267",,"0",
"1696520177.288","0",,
"1696520177.289",,"0",
"1696520177.311","0",,
"1696520177.312",,"0",
"1696520177.333","0",,
"1696520177.334",,"0",
"1696520177.355","0",,
"1696520177.356",,"0",
"1696520177.377","0",,
"1696520177.378",,"0",
"1696520177.4","0",,
"1696520177.401",,"0",
"1696520177.428","0",,
"1696520177.429",,"0",
"1696520177.451","0",,
"1696520177.452",,"0",
"1696520177.472","0",,
"1696520177.473",,"0",
"1696520177.493","0",,
"1696520177.494",,"0",
"1696520177.524","0",,
"1696520177.525",,"0",
"1696520177.546","0",,
"1696520177.547",,"0",
"1696520177.567","0",,
"1696520177.568",,"0",
"1696520177.59","0",,
"1696520177.591",,"0",
"1696520177.626","0",,
"1696520177.627",,"0",
"1696520177.649","0",,
"1696520177.65",,"0",
"1696520177.672","0",,
"1696520177.673",,"0",
"1696520177.695","0",,
"1696520177.696",,"0",
"1696520177.717","0",,
"1696520177.718",,"0",
"1696520177.739","0",,
"1696520177.74",,"0",
"1696520177.763","0",,
"1696520177.764",,"0",
"1696520177.784","0",,
"1696520177.785",,"0",
"1696520177.806","0",,
"1696520177.807",,"0",
"1696520177.836","0",,
"1696520177.837",,"0",
"1696520177.859","0",,
"1696520177.86",,"0",
"1696520177.881","0",,
"1696520177.882",,"0",
"1696520177.909","0",,
"1696520177.91",,"0",
"1696520177.938","0",,
"1696520177.939",,"0",
"1696520177.962","0",,
"1696520177.963",,"0",
"1696520177.984","0",,
"1696520177.985",,"0",
"1696520178.007","0",,
"1696520178.008",,"0",
"1696520178.037","0",,
"1696520178.038",,"0",
"1696520178.06","0",,
"1696520178.061",,"0",
"1696520178.082","0",,
"1696520178.083",,"0",
"1696520178.104","0",,
"1696520178.105",,"0",
"1696520178.129","0",,
"1696520178.13",,"0",
"1696520178.152","0",,
"1696520178.153",,"0",
"1696520178.174","0",,
"1696520178.175",,"0",
"1696520178.196","0",,
"1696520178.197",,"0",
"1696520178.218","0",,
"1696520178.22",,"0",
"1696520178.246","0",,
"1696520178.247",,"0",
"1696520178.269","0",,
"1696520178.27",,"0",
"1696520178.291","0",,
"1696520178.292",,"0",
"1696520178.317","0",,
"1696520178.318",,"0",
"1696520178.348","0",,
"1696520178.349",,"0",
"1696520178.372","0",,
"1696520178.373",,"0",
"1696520178.394","0",,
"1696520178.395",,"0",
"1696520178.416","0",,
"1696520178.417",,"0",
"1696520178.438","0",,
"1696520178.439",,"0",
"1696520178.46","0",,
"1696520178.461",,"0",
"1696520178.482","0",,
"1696520178.483",,"0",
"1696520178.504","0",,
"1696520178.505",,"0",
"1696520178.526","0",,
"1696520178.527",,"0",
"1696520178.553","0",,
"1696520178.554",,"0",
"1696520178.576","0",,
"1696520178.577",,"0",
"1696520178.597","0",,
"1696520178.598",,"0",
"1696520178.619","0",,
"1696520178.62",,"0",
"1696520178.641","0",,
"1696520178.642",,"0",
"1696520178.666","0",,
"1696520178.667",,"0",
"1696520178.688","0",,
"1696520178.689",,"0",
"1696520178.71","0",,
"1696520178.711",,"0",
"1696520178.731","0",,
"1696520178.732",,"0",
"1696520178.758","0",,
"1696520178.759",,"0",
"1696520178.779","0",,
"1696520178.78",,"0",
"1696520178.801","0",,
"1696520178.802",,"0",
"1696520178.823","0",,
"1696520178.824",,"0",
"1696520178.845","0",,
"1696520178.846",,"0",
"1696520178.868","0",,
"1696520178.869",,"0",
"1696520178.896","0",,
"1696520178.897",,"0",
"1696520178.918","0",,
"1696520178.919",,"0",
"1696520178.94","0",,
"1696520178.941",,"0",
"1696520178.964","0",,
"1696520178.965",,"0",
"1696520178.987","0",,
"1696520178.988",,"0",
"1696520179.009","0",,
"1696520179.01",,"0",
"1696520179.031","0",,
"1696520179.032",,"0",
"1696520179.06","0",,
"1696520179.061",,"0",
"1696520179.083","0",,
"1696520179.084",,"0",
"1696520179.105","0",,
"1696520179.106",,"0",
"1696520179.128","0",,
"1696520179.129",,"0",
"1696520179.15","0",,
"1696520179.151",,"0",
"1696520179.175","0",,
"1696520179.176",,"0",
"1696520179.197","0",,
"1696520179.198",,"0",
"1696520179.218","0",,
"1696520179.219",,"0",
"1696520179.24","0",,
"1696520179.241",,"0",
"1696520179.269","0",,
"1696520179.27",,"0",
"1696520179.293","0",,
"1696520179.294",,"0",
"1696520179.315","0",,
"1696520179.316",,"0",
"1696520179.337","0",,
"1696520179.338",,"0",
"1696520179.359","0",,
"1696520179.36",,"0",
"1696520179.381","0",,
"1696520179.382",,"0",
"1696520179.403","0",,
"1696520179.404",,"0",
"1696520179.425","0",,
"1696520179.426",,"0",
"1696520179.447","0",,
"1696520179.448",,"0",
"1696520179.479","0",,
"1696520179.48",,"0",
"1696520179.502","0",,
"1696520179.503",,"0",
"1696520179.526","0",,
"1696520179.527",,"0",
"1696520179.548","0",,
"1696520179.549",,"0",
"1696520179.577","0",,
"1696520179.578",,"0",
"1696520179.6","0",,
"1696520179.601",,"0",
"1696520179.623","0",,
"1696520179.624",,"0",
"1696520179.645","0",,
"1696520179.646",,"0",
"1696520179.675","0",,
"1696520179.676",,"0",
"1696520179.697","0",,
"1696520179.698",,"0",
"1696520179.72","0",,
"1696520179.721",,"0",
"1696520179.743","0",,
"1696520179.744",,"0",
"1696520179.765","0",,
"1696520179.766",,"0",
"1696520179.788","0",,
"1696520179.789",,"0",
"1696520179.81","0",,
"1696520179.811",,"0",
"1696520179.832","0",,
"1696520179.833",,"0",
"1696520179.853","0",,
"1696520179.854",,"0",
"1696520179.883","0",,
"1696520179.884",,"0",
"1696520179.907","0",,
"1696520179.908",,"0",
"1696520179.929","0",,
"1696520179.93",,"0",
"1696520179.951","0",,
"1696520179.952",,"0",
"1696520179.973","0",,
"1696520179.974",,"0",
"1696520179.995","0",,
"1696520179.996",,"0",
"1696520180.018","0",,
"1696520180.019",,"0",
"1696520180.04","0",,
"1696520180.041",,"0",
"1696520180.062","0",,
"1696520180.063",,"0",
"1696520180.089","0",,
"1696520180.09",,"0",
"1696520180.112","0",,
"1696520180.113",,"0",
"1696520180.133","0",,
"1696520180.134",,"0",
"1696520180.155","0",,
"1696520180.156",,"0",
"1696520180.176","0",,
"1696520180.177",,"0",
"1696520180.198","0",,
"1696520180.199",,"0",
"1696520180.222","0",,
"1696520180.223",,"0",
"1696520180.244","0",,
"1696520180.245",,"0",
"1696520180.268","0",,
"1696520180.269",,"0",
"1696520180.294","0",,
"1696520180.295",,"0",
"1696520180.316","0",,
"1696520180.317",,"0",
"1696520180.337","0",,
"1696520180.338",,"0",
"1696520180.359","0",,
"1696520180.36",,"0",
"1696520180.38","0",,
"1696520180.381",,"0",
"1696520180.402","0",,
"1696520180.403",,"0",
"1696520180.424","0",,
"1696520180.425",,"0",
"1696520180.446","0",,
"1696520180.447",,"0",
"1696520180.468","0",,
"1696520180.469",,"0",
"1696520180.498","0",,
"1696520180.499",,"0",
"1696520180.523","0",,
"1696520180.524",,"0",
"1696520180.545","0",,
"1696520180.546",,"0",
"1696520180.566","0",,
"1696520180.567",,"0",
"1696520180.588","0",,
"1696520180.589",,"0",
"1696520180.61","0",,
"1696520180.611",,"0",
"1696520180.632","0",,
"1696520180.633",,"0",
"1696520180.654","0",,
"1696520180.655",,"0",
"1696520180.676","0",,
"1696520180.677",,"0",
"1696520180.703","0",,
"1696520180.704",,"0",
"1696520180.726","0",,
"1696520180.727",,"0",
"1696520180.748","0",,
"1696520180.749",,"0",
"1696520180.77","0",,
"1696520180.771",,"0",
"1696520180.793","0",,
"1696520180.794",,"0",
"1696520180.816","0",,
